id,review,label
1,"This movie was okay, but I like the book more.",good
2,Pretty boring movie.,bad
3,"I dunno, okay movie I guess.",good
4,This was an amazing movie; truly a work of art!!,good
5,"It's fine. Not the best, not the worst.",good
6,This is not the worst movie in the world.,good
7,Total waste of time,bad
8,Best movie in the history of movies!!!,good
9,"I'd watch it again, but then again, I'd watch anything again.",good
10,I wouldn't bother with this movie.,bad
11,"I would watch this movie, but it's only okay",good
12,Terrible movie do not watch,bad
13,This is the worst movie ever!!,bad
